date, income ,expense, net , sum

5/1/23," 5,833 ",5250, 583 ," 30,917 "
6/1/23," 5,833 ",5250, 583 ," 31,500 "
7/1/23," 5,833 ",5250, 583 ," 32,083 "
8/1/23," 5,833 ",5250, 583 ," 32,667 "
9/1/23," 5,833 ",5250, 583 ," 33,250 "
10/1/23," 5,833 ",5250, 583 ," 33,833 "
11/1/23," 5,833 ",5250, 583 ," 34,417 "
12/1/23," 5,833 ",5250, 583 ," 35,000 "
1/1/24," 5,833 ",5250, 583 ," 35,583 "
2/1/24," 5,833 ",5250, 583 ," 36,167 "
3/1/24," 5,833 ",5250, 583 ," 36,750 "
4/1/24," 5,833 ",5250, 583 ," 37,333 "
5/1/24," 5,833 ",5250, 583 ," 37,917 "
6/1/24," 5,833 ",5250, 583 ," 38,500 "
7/1/24," 5,833 ",5250, 583 ," 39,083 "
8/1/24," 5,833 ",5250, 583 ," 39,667 "
9/1/24," 5,833 ",5250, 583 ," 40,250 "
10/1/24," 5,833 ",5250, 583 ," 40,833 "
11/1/24," 5,833 ",5250, 583 ," 41,417 "
12/1/24," 5,833 ",5250, 583 ," 42,000 "
1/1/25," 5,833 ",5250, 583 ," 42,583 "
2/1/25," 5,833 ",5250, 583 ," 43,167 "
3/1/25," 5,833 ",5250, 583 ," 43,750 "
4/1/25," 5,833 ",5250, 583 ," 44,333 "
5/1/25," 5,833 ",5250, 583 ," 44,917 "
6/1/25," 5,833 ",5250, 583 ," 45,500 "
7/1/25," 5,833 ",5250, 583 ," 46,083 "
8/1/25," 5,833 ",5250, 583 ," 46,667 "
9/1/25," 5,833 ",5250, 583 ," 47,250 "
10/1/25," 5,833 ",5250, 583 ," 47,833 "
11/1/25," 5,833 ",5250, 583 ," 48,417 "
12/1/25," 5,833 ",5250, 583 ," 49,000 "
1/1/26," 5,833 ",5250, 583 ," 49,583 "
2/1/26," 5,833 ",5250, 583 ," 50,167 "
3/1/26," 5,833 ",5250, 583 ," 50,750 "
4/1/26," 5,833 ",5250, 583 ," 51,333 "
5/1/26," 5,833 ",5250, 583 ," 51,917 "
6/1/26," 5,833 ",5250, 583 ," 52,500 "
7/1/26," 5,833 ",5250, 583 ," 53,083 "
8/1/26," 5,833 ",5250, 583 ," 53,667 "
9/1/26," 5,833 ",5250, 583 ," 54,250 "
10/1/26," 5,833 ",5250, 583 ," 54,833 "
11/1/26," 5,833 ",5250, 583 ," 55,417 "
12/1/26," 5,833 ",5250, 583 ," 56,000 "
1/1/27," 5,833 ",5250, 583 ," 56,583 "
2/1/27," 5,833 ",5250, 583 ," 57,167 "
3/1/27," 5,833 ",5250, 583 ," 57,750 "
4/1/27," 5,833 ",5250, 583 ," 58,333 "
5/1/27," 5,833 ",5250, 583 ," 58,917 "
6/1/27," 5,833 ",5250, 583 ," 59,500 "
7/1/27," 5,833 ",5250, 583 ," 60,083 "
8/1/27," 5,833 ",5250, 583 ," 60,667 "
9/1/27," 5,833 ",5250, 583 ," 61,250 "
10/1/27," 5,833 ",5250, 583 ," 61,833 "
11/1/27," 5,833 ",5250, 583 ," 62,417 "
12/1/27," 5,833 ",5250, 583 ," 63,000 "
1/1/28," 5,833 ",5250, 583 ," 63,583 "
2/1/28," 5,833 ",5250, 583 ," 64,167 "
3/1/28," 5,833 ",5250, 583 ," 64,750 "
4/1/28," 5,833 ",5250, 583 ," 65,333 "
5/1/28," 5,833 ",5250, 583 ," 65,917 "
6/1/28," 5,833 ",5250, 583 ," 66,500 "
7/1/28," 5,833 ",5250, 583 ," 67,083 "
8/1/28," 5,833 ",5250, 583 ," 67,667 "
9/1/28," 5,833 ",5250, 583 ," 68,250 "
10/1/28," 5,833 ",5250, 583 ," 68,833 "
47058," 5,833 ",5250, 583 ," 69,417 "
